INFO:root:2022-04-02 11:51:42.345364 - Amostra 212 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:44.373235 - Amostra 213 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:46.400687 - Amostra 214 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:48.428520 - Amostra 215 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:50.456251 - Amostra 216 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:52.483971 - Amostra 217 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:51:54.511192 - Amostra 218 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:51:56.538669 - Amostra 219 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:58.565095 - Amostra 220 | Leitura: 30788 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:00.591280 - Amostra 221 | Leitura: 30788 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:02.618832 - Amostra 222 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:04.645414 - Amostra 223 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:06.673067 - Amostra 224 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:08.700511 - Amostra 225 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:10.727689 - Amostra 226 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:12.755319 - Amostra 227 | Leitura: 30778 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:14.783427 - Amostra 228 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:16.811240 - Amostra 229 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:18.838645 - Amostra 230 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:20.866659 - Amostra 231 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:52:22.892962 - Amostra 232 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:52:24.920484 - Amostra 233 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:52:26.948434 - Amostra 234 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:28.974393 - Amostra 235 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:31.002084 - Amostra 236 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:33.028085 - Amostra 237 | Leitura: 30748 | Tensão 3.8486174504837183
INFO:root:2022-04-02 11:52:35.055588 - Amostra 238 | Leitura: 30748 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:52:37.083177 - Amostra 239 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:52:39.110626 - Amostra 240 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:41.138265 - Amostra 241 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:43.162986 - Amostra 242 | Leitura: 30788 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:52:45.190501 - Amostra 243 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:47.218073 - Amostra 244 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:49.245533 - Amostra 245 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:51.274282 - Amostra 246 | Leitura: 30748 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:52:53.301836 - Amostra 247 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:52:55.329480 - Amostra 248 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:57.357112 - Amostra 249 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:52:59.384507 - Amostra 250 | Leitura: 30748 | Tensão 3.8486174504837183
INFO:root:2022-04-02 11:53:01.410750 - Amostra 251 | Leitura: 30748 | Tensão 3.8486174504837183
INFO:root:2022-04-02 11:53:03.438631 - Amostra 252 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:53:05.466535 - Amostra 253 | Leitura: 30768 | Tensão 3.8436172978911713
